code,parent_code,name
15.20.11.131,15.20.11.130,Ботики детские резинотекстильные для ношения на обувь
15.20.11.132,15.20.11.130,Ботики детские резинотекстильные для ношения без обуви
15.20.11.133,15.20.11.130,Ботики детские цельнорезиновые на обувь
15.20.11.134,15.20.11.130,Сапожки и полусапожки детские резинотекстильные
15.20.11.135,15.20.11.130,Сапожки и полусапожки детские цельнорезиновые
15.20.11.136,15.20.11.130,Галоши детские для ношения на кожаную обувь
15.20.11.137,15.20.11.130,Галоши детские для ношения на валяную обувь
15.20.11.138,15.20.11.130,Галоши детские для ношения без обуви полувысокие
15.20.11.139,15.20.11.130,"Обувь водонепроницаемая детская прочая, не включенная в другие группировки"
15.20.12,15.20.1,"Обувь на подошве и с верхом из резины или пластмассы, кроме водонепроницаемой или спортивной обуви"
15.20.12.110,15.20.12,"Обувь мужская и для мальчиков на подошве и с верхом из резины, кроме обуви водонепроницаемой или спортивной"
15.20.12.111,15.20.12.110,"Туфли открытые, сандалеты мужские и для мальчиков на подошве и с верхом из резины или пластмассы, кроме водонепроницаемой или спортивной обуви"
15.20.12.112,15.20.12.110,"Сапожки, полусапожки, ботинки, полуботинки мужские или для мальчиков на подошве и с верхом из резины или пластмассы, кроме водонепроницаемой или спортивной обуви"
15.20.12.113,15.20.12.110,"Туфли комнатные и прочая домашняя обувь мужская или для мальчиков на подошве и с верхом из резины или пластмассы, кроме водонепроницаемой или спортивной обуви (включая тапочки комнатные, туфли для танцев, туфли домашние без задников)"
15.20.12.119,15.20.12.110,"Обувь мужская и для мальчиков на подошве и с верхом из резины или пластмассы, кроме обуви водонепроницаемой или спортивной, прочая, не включенная в другие группировки"
15.20.12.120,15.20.12,"Обувь женская и для девочек на подошве и с верхом из пластмассы, кроме обуви водонепроницаемой или спортивной"
15.20.12.121,15.20.12.120,"Сандалии, босоножки, туфли открытые женские и для девочек на подошве и с верхом из резины или пластмассы"
15.20.12.122,15.20.12.120,"Сапожки, полусапожки, ботинки, полуботинки, туфли женские и для девочек на подошве из резины или пластмассы"
15.20.12.123,15.20.12.120,Туфли комнатные женские или для девочек на подошве и с верхом из резины или пластмассы
15.20.12.129,15.20.12.120,"Обувь женская и для девочек на подошве и с верхом из резины или пластмассы кроме обуви водонепроницаемой или спортивной, прочая, не включенная в другие группировки"
15.20.12.130,15.20.12,"Обувь детская на подошве и с верхом из резины или пластмассы, кроме обуви водонепроницаемой или спортивной"
15.20.12.131,15.20.12.130,"Туфли открытые, сандалеты детские на подошве и с верхом из резины или пластмассы, кроме обуви водонепроницаемой или спортивной"
15.20.12.132,15.20.12.130,Туфли комнатные и прочая детская обувь домашняя на подошве и с верхом из резины или пластмассы
15.20.12.139,15.20.12.130,"Обувь детская на подошве и с верхом из резины или пластмассы прочая, кроме обуви водонепроницаемой или спортивной, не включенная в другие группировки"
15.20.13,15.20.1,"Обувь с верхом из кожи, кроме спортивной обуви, обуви с защитным металлическим подноском и различной специальной обуви"
15.20.13.110,15.20.13,Обувь повседневная с верхом из кожи
15.20.13.120,15.20.13,Обувь модельная с верхом из кожи
15.20.13.130,15.20.13,Обувь летняя с верхом из кожи
15.20.13.140,15.20.13,Обувь зимняя с верхом из кожи
15.20.13.150,15.20.13,Обувь весенне-осенняя
15.20.13.160,15.20.13,Обувь домашняя с верхом из кожи
15.20.13.170,15.20.13,Обувь детская с верхом из кожи
15.20.13.171,15.20.13.170,"Обувь уличная детская и с верхом из кожи (включая сапожки, ботинки и туфли)"
15.20.13.172,15.20.13.170,"Обувь малодетская и гусариковая уличная с верхом из кожи (включая сапожки, ботинки и туфли)"
15.20.13.173,15.20.13.170,"Сандалии школьные, детские, малодетские с верхом из кожи (включая сандалии с верхом из ремешков или полосок, шлепанцы)"
15.20.13.174,15.20.13.170,"Туфли комнатные детские, малодетские и прочая обувь домашняя с верхом из кожи (включая туфли для танцев, тапочки комнатные, туфли домашние без задников)"
15.20.13.179,15.20.13.170,"Обувь детская с верхом из кожи прочая, не включенная в другие группировки"
15.20.13.190,15.20.13,"Обувь прочая с верхом из кожи, кроме обуви спортивной, обуви с защитным металлическим подноском и различной специальной обуви"
15.20.14,15.20.1,"Обувь с верхом из текстильных материалов, кроме спортивной обуви"
15.20.14.110,15.20.14,Обувь с верхом из текстильных материалов
15.20.14.120,15.20.14,Обувь фетровая
15.20.14.130,15.20.14,Обувь валяная
15.20.14.140,15.20.14,"Обувь детская с верхом из текстильных материалов, кроме спортивной обуви"
15.20.14.141,15.20.14.140,"Туфли детские комнатные с верхом из текстильных материалов, войлока или фетра"
15.20.14.142,15.20.14.140,"Сапожки, ботинки, полуботинки, туфли детские с верхом из текстильных материалов, войлока или фетра"
15.20.14.143,15.20.14.140,Обувь детская валяная
15.20.14.149,15.20.14.140,"Обувь детская с верхом из текстильных материалов прочая, кроме спортивной обуви, не включенная в другие группировки"
15.20.2,15.20,Обувь спортивная
15.20.21,15.20.2,"Обувь для тенниса, баскетбола, гимнастики, тренировочная обувь и аналогичные изделия"
15.20.21.110,15.20.21,Обувь для тенниса
15.20.21.120,15.20.21,Обувь для баскетбола
15.20.21.130,15.20.21,Обувь для гимнастики
15.20.21.140,15.20.21,Кроссовки и аналогичные изделия
15.20.21.150,15.20.21,Обувь спортивная детская
15.20.21.151,15.20.21.150,Туфли детские для тенниса
15.20.21.152,15.20.21.150,Ботинки детские для баскетбола
15.20.21.153,15.20.21.150,Туфли детские для гимнастики
15.20.21.159,15.20.21.150,"Обувь спортивная детская прочая, не включенная в другие группировки"
15.20.29,15.20.2,"Обувь спортивная прочая, кроме лыжных ботинок и ботинок с коньками"
15.20.29.110,15.20.29,Ботинки для конькобежных видов спорта
15.20.29.120,15.20.29,Ботинки для футболистов
15.20.29.130,15.20.29,Ботинки для туристов и альпинистов
15.20.29.140,15.20.29,"Обувь для боксеров, борцов и тяжелоатлетов"
15.20.29.190,15.20.29,"Обувь спортивная прочая, кроме лыжных ботинок и ботинок с коньками, не включенная в другие группировки"
15.20.3,15.20,"Обувь защитная и прочая, не включенная в другие группировки"
15.20.31,15.20.3,Обувь с защитным металлическим подноском
15.20.31.000,15.20.31,Обувь с защитным металлическим подноском
15.20.32,15.20.3,"Обувь деревянная, различная специальная обувь и прочая обувь, не включенная в другие группировки"
15.20.32.110,15.20.32,Обувь деревянная
15.20.32.120,15.20.32,Обувь различная специальная
15.20.32.121,15.20.32.120,Обувь специальная диэлектрическая из полимерных материалов
15.20.32.122,15.20.32.120,Обувь специальная кожаная для защиты от механических воздействий
15.20.32.123,15.20.32.120,"Обувь специальная кожаная для защиты от нефти, нефтепродуктов, кислот, щелочей, нетоксичной и взрывоопасной пыли"
15.20.32.124,15.20.32.120,Обувь специальная кожаная для защиты от повышенных температур
15.20.32.125,15.20.32.120,Обувь специальная кожаная для защиты от скольжения по зажиренным поверхностям
15.20.32.126,15.20.32.120,Обувь специальная валяная для защиты от повышенных температур
15.20.32.127,15.20.32.120,Обувь специальная виброзащитная
15.20.32.128,15.20.32.120,Обувь специальная из полимерных материалов для защиты от механических воздействий
15.20.32.129,15.20.32.120,"Обувь специальная прочая, не включенная в другие группировки"
15.20.32.130,15.20.32,Обувь детская прочая
15.20.32.131,15.20.32.130,Тапочки детские меховые
15.20.32.132,15.20.32.130,Тапочки детские шубные
15.20.32.139,15.20.32.130,"Обувь детская прочая, не включенная в другие группировки"
15.20.32.190,15.20.32,"Обувь прочая, не включенная в другие группировки"
15.20.4,15.20,"Детали обуви из кожи; вкладные стельки, подпяточники и аналогичные изделия; гетры, гамаши и аналогичные изделия и их детали"
15.20.40,15.20.4,"Детали обуви из кожи; вкладные стельки, подпяточники и аналогичные изделия; гетры, гамаши и аналогичные изделия и их детали"
15.20.40.110,15.20.40,Детали обуви из кожи
15.20.40.120,15.20.40,"Стельки вкладные, подпятники и аналогичные изделия"
15.20.40.130,15.20.40,"Гетры, гамаши и аналогичные изделия и их детали"
15.20.9,15.20,"Услуги по производству обуви отдельные, выполняемые субподрядчиком"
15.20.99,15.20.9,"Услуги по производству обуви отдельные, выполняемые субподрядчиком"
15.20.99.000,15.20.99,"Услуги по производству обуви отдельные, выполняемые субподрядчиком"
16,C,"Древесина и изделия из дерева и пробки, кроме мебели; изделия из соломки и материалов для плетения"
16.1,16,"Лесоматериалы, распиленные и строганые"
16.10,16.1,"Лесоматериалы, распиленные и строганые"
16.10.1,16.10,"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеные, толщиной более 6 мм; деревянные железнодорожные или трамвайные шпалы, непропитанные"
16.10.10,16.10.1,"Лесоматериалы, продольно распиленные или расколотые, разделенные на слои или лущеные, толщиной более 6 мм; деревянные железнодорожные или трамвайные шпалы, непропитанные"
16.10.10.110,16.10.10,Пиломатериалы хвойных пород
16.10.10.111,16.10.10.110,Пиломатериалы из сосны
16.10.10.112,16.10.10.110,Пиломатериалы из ели
16.10.10.113,16.10.10.110,Пиломатериалы из лиственницы
16.10.10.114,16.10.10.110,Пиломатериалы из кедра
16.10.10.115,16.10.10.110,Пиломатериалы из пихты
16.10.10.119,16.10.10.110,Пиломатериалы из прочих хвойных пород
16.10.10.120,16.10.10,Пиломатериалы лиственных пород
16.10.10.121,16.10.10.120,Пиломатериалы из дуба
16.10.10.122,16.10.10.120,Пиломатериалы из бука
16.10.10.123,16.10.10.120,Пиломатериалы из ясеня
16.10.10.124,16.10.10.120,Пиломатериалы из березы
16.10.10.125,16.10.10.120,Пиломатериалы из осины
16.10.10.126,16.10.10.120,Пиломатериалы из тополя
16.10.10.127,16.10.10.120,Пиломатериалы из ольхи
16.10.10.128,16.10.10.120,Пиломатериалы из липы
16.10.10.129,16.10.10.120,Пиломатериалы из прочих лиственных пород
16.10.10.130,16.10.10,Шпалы деревянные для железных дорог непропитанные
16.10.10.131,16.10.10.130,Шпалы деревянные для железных дорог широкой колеи непропитанные
16.10.10.132,16.10.10.130,Шпалы деревянные для железных дорог узкой колеи непропитанные
16.10.10.140,16.10.10,Брусья деревянные для стрелочных переводов железных дорог непропитанные
16.10.10.141,16.10.10.140,Брусья деревянные для стрелочных переводов железных дорог широкой колеи непропитанные
16.10.10.142,16.10.10.140,Брусья деревянные для стрелочных переводов железных дорог узкой колеи непропитанные
16.10.10.143,16.10.10.140,Брусья переводные деревянные клееные для железных дорог широкой колеи непропитанные
16.10.10.150,16.10.10,Шпалы и брусья деревянные клееные для трамвайных путей непропитанные
16.10.10.160,16.10.10,Шпалы деревянные для метрополитена непропитанные
16.10.2,16.10,"Древесина, профилированная по любой из кромок или пластей; шерсть древесная; мука древесная; щепа или стружка древесная"
16.10.21,16.10.2,"Древесина, профилированная по любой из кромок или пластей (включая планки и фризы для паркетного покрытия пола несобранные, штапики и багеты)"
16.10.21.110,16.10.21,Пиломатериалы хвойные профилированные
16.10.21.111,16.10.21.110,Пиломатериалы профилированные из сосны
16.10.21.112,16.10.21.110,Пиломатериалы профилированные из ели
16.10.21.113,16.10.21.110,Пиломатериалы профилированные из лиственницы
16.10.21.114,16.10.21.110,Пиломатериалы профилированные из кедра
16.10.21.115,16.10.21.110,Пиломатериалы профилированные их пихты
16.10.21.119,16.10.21.110,Пиломатериалы профилированные из прочих хвойных пород
16.10.21.120,16.10.21,Пиломатериалы лиственные профилированные
16.10.21.121,16.10.21.120,Пиломатериалы профилированные из дуба
16.10.21.122,16.10.21.120,Пиломатериалы профилированные из бука
16.10.21.123,16.10.21.120,Пиломатериалы профилированные из ясеня
16.10.21.124,16.10.21.120,Пиломатериалы профилированные из березы
16.10.21.125,16.10.21.120,Пиломатериалы профилированные из осины
16.10.21.126,16.10.21.120,Пиломатериалы профилированные из тополя
16.10.21.127,16.10.21.120,Пиломатериалы профилированные из ольхи
16.10.21.128,16.10.21.120,Пиломатериалы профилированные из липы
16.10.21.129,16.10.21.120,Пиломатериалы профилированные из прочих лиственных пород
16.10.22,16.10.2,Шерсть древесная; мука древесная
16.10.22.110,16.10.22,Шерсть древесная
16.10.22.120,16.10.22,Мука древесная
16.10.23,16.10.2,Щепа или стружка древесные
16.10.23.110,16.10.23,Щепа древесная
16.10.23.111,16.10.23.110,Щепа технологическая
16.10.23.112,16.10.23.110,Щепа топливная
16.10.23.113,16.10.23.110,Щепа кровельная
16.10.23.120,16.10.23,Стружка древесная
16.10.3,16.10,Лесоматериалы необработанные; шпалы деревянные железнодорожные и трамвайные пропитанные или обработанные другим способом
16.10.31,16.10.3,"Лесоматериалы необработанные, окрашенные, протравленные, обработанные креозотом или другими консервантами"
16.10.31.110,16.10.31,"Лесоматериалы хвойных пород необработанные, окрашенные, протравленные, обработанные креозотом или другими консервантами"
16.10.31.120,16.10.31,"Лесоматериалы лиственных пород необработанные, окрашенные, протравленные, обработанные креозотом или другими консервантами"
16.10.32,16.10.3,Шпалы деревянные для железных дорог или трамвайных путей пропитанные
16.10.32.110,16.10.32,Шпалы деревянные для железных дорог пропитанные
16.10.32.111,16.10.32.110,Шпалы деревянные для железных дорог широкой колеи пропитанные
16.10.32.112,16.10.32.110,Шпалы деревянные для железных дорог узкой колеи пропитанные
16.10.32.120,16.10.32,Брусья деревянные для стрелочных переводов железных дорог пропитанные
16.10.32.121,16.10.32.120,Брусья деревянные для стрелочных переводов железных дорог широкой колеи пропитанные
16.10.32.122,16.10.32.120,Брусья деревянные для стрелочных переводов железных дорог узкой колеи пропитанные
16.10.32.123,16.10.32.120,Брусья переводные деревянные клееные для железных дорог широкой колеи пропитанные
16.10.32.130,16.10.32,Шпалы и брусья деревянные клееные для трамвайных путей пропитанные
16.10.32.140,16.10.32,Шпалы деревянные для метрополитена пропитанные
16.10.39,16.10.3,"Лесоматериалы необработанные прочие, включая расщепленные бревна и колья"
16.10.39.000,16.10.39,"Лесоматериалы необработанные прочие, включая расщепленные бревна и колья"
16.10.9,16.10,"Услуги по сушке, пропитке или химической обработке древесины; отдельные операции процесса производства лесоматериалов, распиленных и строганных, выполняемые субподрядчиком"
16.10.91,16.10.9,"Услуги по сушке, пропитке или химической обработке древесины"
16.10.91.000,16.10.91,"Услуги по сушке, пропитке или химической обработке древесины"
16.10.99,16.10.9,"Операции процесса производства распиленных и строганых лесоматериалов отдельные, выполняемые субподрядчиком"
16.10.99.000,16.10.99,"Операции процесса производства распиленных и строганых лесоматериалов отдельные, выполняемые субподрядчиком"
16.2,16,"Изделия из дерева, пробки, соломки и материалов для плетения"
16.21,16.2,Листы для облицовки и плиты многослойные
16.21.1,16.21,"Фанера, панели деревянные фанерованные и аналогичные материалы слоистые из древесины; плиты древесно-стружечные и аналогичные плиты из древесины и других одревесневших материалов"
16.21.11,16.21.1,"Фанера, панели деревянные фанерованные и аналогичные материалы слоистые из бамбука"
16.21.11.110,16.21.11,Фанера из бамбука
16.21.11.120,16.21.11,Панели деревянные фанерованные из бамбука
16.21.11.190,16.21.11,Материалы слоистые из бамбука
16.21.12,16.21.1,"Фанера, панели деревянные фанерованные и аналогичные материалы слоистые из древесины прочие"
16.21.12.110,16.21.12,Фанера
16.21.12.111,16.21.12.110,Фанера общего назначения
16.21.12.112,16.21.12.110,"Фанера, облицованная строганым шпоном"
16.21.12.113,16.21.12.110,Фанера декоративная
16.21.12.114,16.21.12.110,Фанера бакелизированная
16.21.12.115,16.21.12.110,Фанера березовая авиационная
16.21.12.119,16.21.12.110,Фанера прочая
16.21.12.120,16.21.12,Панели деревянные фанерованные
16.21.12.190,16.21.12,Материалы слоистые из древесины
16.21.13,16.21.1,Плиты древесно-стружечные и аналогичные плиты из древесины или других одревесневших материалов
16.21.13.000,16.21.13,Плиты древесно-стружечные и аналогичные плиты из древесины или других одревесневших материалов
16.21.14,16.21.1,Плиты древесно-волокнистые из древесины или других одревесневших материалов
16.21.14.000,16.21.14,Плиты древесно-волокнистые из древесины или других одревесневших материалов
16.21.2,16.21,Листы для облицовки; шпон для фанеры; древесина прессованная
16.21.21,16.21.2,"Листы для облицовки, шпон для фанеры и прочая древесина, распиленная вдоль, разделенная на слои или лущеная, толщиной не более 6 мм"
16.21.21.110,16.21.21,Листы для облицовки
16.21.21.120,16.21.21,Шпон для фанеры
16.21.21.190,16.21.21,"Древесина прочая, распиленная вдоль, разделенная на слои или лущеная, толщиной не более 6 мм"
16.21.22,16.21.2,"Древесина прессованная в виде блоков, плит, брусьев или профилированных изделий"
16.21.22.000,16.21.22,"Древесина прессованная в виде блоков, плит, брусьев или профилированных изделий"
16.21.9,16.21,"Услуги по отделке плит и панелей; отдельные операции процесса производства листов для облицовки и древесных плит, выполняемые субподрядчиком"
16.21.91,16.21.9,Услуги по отделке плит и панелей
16.21.91.000,16.21.91,Услуги по отделке плит и панелей
16.21.99,16.21.9,"Операции процесса производства листов для облицовки и древесных плит отдельные, выполняемые субподрядчиком"
16.21.99.000,16.21.99,"Операции процесса производства листов для облицовки и древесных плит отдельные, выполняемые субподрядчиком"
16.22,16.2,Полы паркетные
16.22.1,16.22,Паркет щитовой в сборе
16.22.10,16.22.1,Паркет щитовой в сборе
16.22.10.000,16.22.10,Паркет щитовой в сборе
16.22.9,16.22,"Услуги по производству полов паркетных отдельные, выполняемые субподрядчиком"
16.22.99,16.22.9,"Услуги по производству полов паркетных отдельные, выполняемые субподрядчиком"
16.22.99.000,16.22.99,"Услуги по производству полов паркетных отдельные, выполняемые субподрядчиком"
16.23,16.2,Изделия деревянные строительные и столярные прочие
16.23.1,16.23,Изделия деревянные строительные (кроме сборных зданий) и столярные прочие
16.23.11,16.23.1,"Окна, двери балконные и их коробки, двери и их коробки и пороги деревянные"
16.23.11.110,16.23.11,Окна и их коробки деревянные
16.23.11.120,16.23.11,Двери балконные и их коробки деревянные
16.23.11.130,16.23.11,"Двери, их коробки и пороги деревянные"
16.23.12,16.23.1,"Опалубка для бетонных строительных работ, гонт и дранка деревянные"
16.23.12.110,16.23.12,Опалубка деревянная для бетонных строительных работ
16.23.12.120,16.23.12,Гонт деревянный
16.23.12.130,16.23.12,Дранка деревянная
16.23.19,16.23.1,"Изделия деревянные строительные и столярные, не включенные в другие группировки"
16.23.19.000,16.23.19,"Изделия деревянные строительные и столярные, не включенные в другие группировки"
16.23.2,16.23,Конструкции сборные деревянные строительные (здания сборные деревянные)
16.23.20,16.23.2,"Конструкции сборные деревянные строительные (здания сборные деревянные)"
16.23.20.110,16.23.20,Дома деревянные заводского изготовления (дома стандартные)
16.23.20.120,16.23.20,"Домики деревянные для содержания зверей, животных и птиц"
16.23.20.130,16.23.20,"Домики садовые и постройки хозяйственные приусадебные"
16.23.20.140,16.23.20,Здания и помещения деревянные сборно-разборные
16.23.20.150,16.23.20,Здания и помещения деревянные цельноперевозные
16.23.20.160,16.23.20,Помещения деревянные контейнерного типа
16.23.9,16.23,"Услуги по производству прочих деревянных строительных конструкций и столярных изделий отдельные, выполняемые субподрядчиком"
16.23.99,16.23.9,"Услуги по производству прочих деревянных строительных конструкций и столярных изделий отдельные, выполняемые субподрядчиком"
16.23.99.000,16.23.99,"Услуги по производству прочих деревянных строительных конструкций и столярных изделий отдельные, выполняемые субподрядчиком"
16.24,16.2,Тара деревянная
16.24.1,16.24,Тара деревянная
16.24.11,16.24.1,"Поддоны деревянные, включая поддоны с бортами, и прочие деревянные погрузочные щиты"
16.24.11.110,16.24.11,"Поддоны деревянные, включая поддоны с бортами"
16.24.11.190,16.24.11,Щиты прочие деревянные погрузочные
16.24.12,16.24.1,"Бочки, бочонки и прочие бондарные деревянные изделия"
16.24.12.110,16.24.12,Бочки деревянные
16.24.12.111,16.24.12.110,"Бочки деревянные для вин, соков и морсов"
16.24.12.112,16.24.12.110,Бочки деревянные для пива
16.24.12.113,16.24.12.110,Комплекты бочковые и бочки заливные
16.24.12.114,16.24.12.110,Комплекты бочковые и бочки сухотарные
16.24.12.119,16.24.12.110,Бочки деревянные прочие
16.24.12.190,16.24.12,Бочонки и прочие бондарные деревянные изделия
16.24.12.191,16.24.12.190,Бочонки деревянные
16.24.12.192,16.24.12.190,Клепка для бочек
16.24.12.199,16.24.12.190,Изделия бондарные деревянные прочие
16.24.13,16.24.1,Тара деревянная прочая и ее части
16.24.13.110,16.24.13,Ящики деревянные
16.24.13.120,16.24.13,Комплекты деталей деревянных ящиков
16.24.13.130,16.24.13,Клинья
16.24.13.140,16.24.13,Барабаны и катушки деревянные
16.24.13.141,16.24.13.140,Барабаны деревянные для сыров
16.24.13.142,16.24.13.140,Барабаны деревянные для электрических кабелей и проводов
16.24.13.143,16.24.13.140,Барабаны деревянные для стальных канатов
16.24.13.144,16.24.13.140,Барабаны дощатые для упаковки изоляторов
16.24.13.145,16.24.13.140,"Барабаны фанерные для упаковки сыпучих, пастообразных и брикетированных продуктов"
16.24.13.146,16.24.13.140,Катушки деревянные для проволоки и проводов малых сечений
16.24.13.190,16.24.13,Тара деревянная прочая и ее части
16.24.9,16.24,"Услуги по производству деревянной тары отдельные, выполняемые субподрядчиком"
16.24.99,16.24.9,"Услуги по производству деревянной тары отдельные, выполняемые субподрядчиком"
16.24.99.000,16.24.99,"Услуги по производству деревянной тары отдельные, выполняемые субподрядчиком"
16.29,16.2,"Изделия из дерева, пробки, соломки и материалов для плетения, прочие"
16.29.1,16.29,Изделия из дерева прочие
16.29.11,16.29.1,"Инструменты, корпуса и рукоятки инструментов, рукоятки и части щеток и метел, блоки для изготовления курительных трубок, сапожные колодки и растяжки для обуви, деревянные"
16.29.11.110,16.29.11,"Инструменты, корпуса и рукоятки инструментов деревянные"
16.29.11.120,16.29.11,Рукоятки и части щеток и метел деревянные
16.29.11.130,16.29.11,Блоки для изготовления курительных трубок
16.29.11.140,16.29.11,Колодки сапожные и растяжки для обуви деревянные
16.29.12,16.29.1,Принадлежности столовые и кухонные деревянные
16.29.12.000,16.29.12,Принадлежности столовые и кухонные деревянные
16.29.13,16.29.1,"Изделия деревянные мозаичные и инкрустированные, футляры для ювелирных или ножевых изделий и аналогичные изделия из дерева, статуэтки и изделия декоративные из дерева прочие"
16.29.13.110,16.29.13,Изделия деревянные мозаичные и инкрустированные из дерева
16.29.13.120,16.29.13,Футляры для ювелирных или ножевых изделий и аналогичные изделия из дерева
16.29.13.130,16.29.13,Статуэтки из дерева
16.29.13.190,16.29.13,Изделия декоративные из дерева прочие
16.29.14,16.29.1,"Рамы деревянные для картин, фотографий, зеркал или аналогичных предметов и прочие изделия из дерева"
16.29.14.110,16.29.14,"Рамы деревянные для картин, фотографий, зеркал или аналогичных предметов из дерева"
16.29.14.190,16.29.14,Изделия прочие из дерева
16.29.14.191,16.29.14.190,Изделия хозяйственного назначения деревянные
16.29.14.192,16.29.14.190,"Гранулы топливные (пеллеты) из отходов деревопереработки"
16.29.14.193,16.29.14.190,Брикеты топливные из отходов деревопереработки
16.29.14.199,16.29.14.190,"Изделия из дерева прочие, не включенные в другие группировки"
16.29.2,16.29,"Изделия из пробки, соломки и материалов для плетения; изделия корзиночные и плетеные"
16.29.21,16.29.2,"Пробка натуральная с удаленным наружным слоем или начерно обрезанная, или в форме брусков, пластин, листов или полос; пробка размельченная, гранулированная или размолотая; отходы пробки"
16.29.21.110,16.29.21,"Пробка натуральная с удаленным наружным слоем или начерно обрезанная, или в форме брусков, пластин, листов или полос"
16.29.21.120,16.29.21,"Пробка размельченная, гранулированная или размолотая"
16.29.21.130,16.29.21,Отходы пробки
16.29.22,16.29.2,Изделия из натуральной пробки
16.29.22.000,16.29.22,Изделия из натуральной пробки
16.29.23,16.29.2,"Блоки, пластины, листы и полосы, плитки любой формы, цилиндры цельные из агломерированной пробки"
16.29.23.110,16.29.23,"Блоки, пластины, листы и полосы из агломерированной пробки"
16.29.23.120,16.29.23,Плитки любой формы из агломерированной пробки
16.29.23.130,16.29.23,Цилиндры цельные из агломерированной пробки
16.29.24,16.29.2,"Пробка агломерированная; изделия из агломерированной пробки, не включенные в другие группировки"
16.29.24.110,16.29.24,Пробка агломерированная
16.29.24.190,16.29.24,"Изделия из агломерированной пробки, не включенные в другие группировки"
16.29.25,16.29.2,"Изделия из соломки, эспарто (альфы) и прочих материалов для плетения; изделия корзиночные и плетеные"
16.29.25.110,16.29.25,Изделия из соломки
16.29.25.120,16.29.25,Изделия из эспарто (альфы)
16.29.25.130,16.29.25,Изделия из прочих материалов для плетения
16.29.25.140,16.29.25,Изделия корзиночные и плетеные
16.29.9,16.29,"Услуги по производству древесины и пробки, кроме мебели, соломки и материалов для плетения; отдельные операции процесса производства прочих изделий из дерева, изделий из пробки, соломки и материалов для плетения, выполняемые субподрядчиком"
16.29.91,16.29.9,"Услуги по производству древесины и пробки, кроме мебели, соломки и материалов для плетения"
16.29.91.000,16.29.91,"Услуги по производству древесины и пробки, кроме мебели, соломки и материалов для плетения"
16.29.99,16.29.9,"Операции процесса производства изделий из дерева, пробки, соломки и материалов для плетения, отдельные, выполняемые субподрядчиком"
16.29.99.000,16.29.99,"Операции процесса производства изделий из дерева, пробки, соломки и материалов для плетения, отдельные, выполняемые субподрядчиком"
17,C,Бумага и изделия из бумаги
17.1,17,"Целлюлоза, бумага и картон"
17.11,17.1,Целлюлоза
17.11.1,17.11,Целлюлоза древесная и целлюлоза из прочих волокнистых материалов
17.11.11,17.11.1,"Целлюлоза древесная, растворимые сорта"
17.11.11.000,17.11.11,"Целлюлоза древесная, растворимые сорта"
17.11.12,17.11.1,"Целлюлоза древесная натронная или сульфатная, кроме растворимых сортов"
17.11.12.000,17.11.12,"Целлюлоза древесная натронная или сульфатная, кроме растворимых сортов"
17.11.13,17.11.1,"Целлюлоза древесная сульфитная, кроме растворимых сортов"
17.11.13.000,17.11.13,"Целлюлоза древесная сульфитная, кроме растворимых сортов"
17.11.14,17.11.1,"Масса древесная, получаемая механическим способом; полуцеллюлоза древесная; целлюлоза из прочих волокнистых материалов, кроме древесины"
17.11.14.110,17.11.14,"Масса древесная, получаемая механическим способом"
17.11.14.120,17.11.14,Полуцеллюлоза древесная
17.11.14.190,17.11.14,"Целлюлоза из прочих волокнистых материалов, кроме древесины"
17.11.9,17.11,"Услуги по производству целлюлозы отдельные, выполняемые субподрядчиком"
17.11.99,17.11.9,"Услуги по производству целлюлозы отдельные, выполняемые субподрядчиком"
17.11.99.000,17.11.99,"Услуги по производству целлюлозы отдельные, выполняемые субподрядчиком"
17.12,17.1,Бумага и картон
17.12.1,17.12,"Бумага газетная, бумага ручного отлива и прочая бумага немелованная или картон для графических целей"
17.12.11,17.12.1,Бумага газетная в рулонах или листах
17.12.11.110,17.12.11,Бумага газетная в рулонах
17.12.11.120,17.12.11,Бумага газетная в листах
17.12.12,17.12.1,Бумага и картон ручного отлива
17.12.12.110,17.12.12,Бумага ручного отлива
17.12.12.120,17.12.12,Картон ручного отлива
17.12.13,17.12.1,"Бумага и картон, используемые как основа для фоточувствительной, теплочувствительной и электрочувствительной бумаги; бумага-основа для копировальной бумаги; бумага-основа для обоев"
