code,parent_code,name
01.11.73,01.11.7,Нут (бараний горох) сушеный
01.11.73.110,01.11.73,Зерно нута
01.11.73.120,01.11.73,Семена нута
01.11.74,01.11.7,Чечевица сушеная
01.11.74.110,01.11.74,Зерно чечевицы
01.11.74.120,01.11.74,Семена чечевицы
01.11.75,01.11.7,Горох сушеный
01.11.75.110,01.11.75,Зерно гороха
01.11.75.120,01.11.75,Семена гороха
01.11.79,01.11.7,"Культуры зернобобовые (овощи бобовые сушеные), не включенные в другие группировки"
01.11.79.110,01.11.79,Чина сушеная
01.11.79.111,01.11.79.110,Зерно чины
01.11.79.112,01.11.79.110,Семена чины
01.11.79.120,01.11.79,Маш сушеный
01.11.79.121,01.11.79.120,Зерно маша
01.11.79.122,01.11.79.120,Семена маша
01.11.79.190,01.11.79,"Культуры зернобобовые (овощи бобовые сушеные) прочие, не включенные в другие группировки"
01.11.79.191,01.11.79.190,"Зерно прочих зернобобовых культур (овощей бобовых сушеных), не включенных в другие группировки"
01.11.79.192,01.11.79.190,"Семена прочих зернобобовых культур (овощей бобовых сушеных), не включенных в другие группировки"
01.11.79.199,01.11.79.190,Зерноотходы прочих зернобобовых культур (овощей бобовых сушеных)
01.11.8,01.11,"Бобы соевые, орехи земляные, семена хлопка"
01.11.81,01.11.8,Бобы соевые
01.11.81.110,01.11.81,Бобы соевые для посева
01.11.81.120,01.11.81,Бобы соевые для переработки
01.11.82,01.11.8,Арахис (орех земляной) нелущеный
01.11.82.000,01.11.82,Арахис (орех земляной) нелущеный
01.11.83,01.11.8,Арахис (орех земляной) лущеный
01.11.83.000,01.11.83,Арахис (орех земляной) лущеный
01.11.84,01.11.8,Семена хлопчатника
01.11.84.000,01.11.84,Семена хлопчатника
01.11.9,01.11,"Семена льна, горчицы, рапса, сурепицы, кунжута, подсолнечника и семена прочих масличных культур, не включенные в другие группировки"
01.11.91,01.11.9,Семена льна
01.11.91.110,01.11.91,Семена льна для посева
01.11.91.111,01.11.91.110,Семена льна-кудряша для посева
01.11.91.112,01.11.91.110,Семена льна-долгунца для посева
01.11.91.120,01.11.91,Семена льна для переработки
01.11.92,01.11.9,Семена горчицы
01.11.92.110,01.11.92,Семена горчицы для посева
01.11.92.120,01.11.92,Семена горчицы для переработки
01.11.93,01.11.9,Семена рапса
01.11.93.110,01.11.93,Семена озимого рапса
01.11.93.111,01.11.93.110,Семена озимого рапса для посева
01.11.93.112,01.11.93.110,Семена озимого рапса для переработки
01.11.93.120,01.11.93,Семена ярового рапса (кользы)
01.11.93.121,01.11.93.120,Семена ярового рапса (кользы) для посева
01.11.93.122,01.11.93.120,Семена ярового рапса (кользы) для переработки
01.11.94,01.11.9,Семена кунжута
01.11.94.110,01.11.94,Семена кунжута для посева
01.11.94.120,01.11.94,Семена кунжута для переработки
01.11.95,01.11.9,Семена подсолнечника
01.11.95.110,01.11.95,Семена подсолнечника для посева
01.11.95.120,01.11.95,Семена подсолнечника для переработки
01.11.99,01.11.9,"Семена прочих масличных культур, не включенные в другие группировки"
01.11.99.110,01.11.99,Семена клещевины
01.11.99.120,01.11.99,Семена масличного мака
01.11.99.130,01.11.99,Семена южной конопли
01.11.99.140,01.11.99,Семена среднерусской конопли
01.11.99.150,01.11.99,Семена рыжика
01.11.99.160,01.11.99,Семена сафлора
01.11.99.190,01.11.99,"Семена прочих масличных культур, не включенные в другие группировки"
01.12,01.1,Рис нешелушеный
01.12.1,01.12,Рис нешелушеный
01.12.10,01.12.1,Рис нешелушеный
01.12.10.110,01.12.10,Зерно нешелушеного риса
01.12.10.120,01.12.10,Семена нешелушеного риса
