ОКВЭД2001;ОКВЭД2
35.42;30.92.1
35.43;30.92.2
35.5;30.9
35.5;30.99
36;31
36.1;31
36.11;31.01
36.12;31.01
36.13;31.02
36.14;31.09
36.15;31.03
36.2;32.1
36.21;32.11
36.22;32.12
36.3;32.2
36.3;32.2
36.4;32.3
36.4;32.3
36.5;32.4
36.5;32.4
36.6;32.9
36.61;32.13
36.62;32.91
36.63;32.99
37;38
37.1;38.32.3
37.1;38.32.3
37.2;38.32.5
37.2;38.32.5
40;35
40.1;35.1
40.1;35.11
40.2;35.2
40.2;35.2
40.3;35.3
40.3;35.3
41;36
41;36
41;36
45;41
45.1;43.12
45.11;43.11
45.12;43.13
45.2;41.2
45.21;41.2
45.22;43.91
45.23;42.11
45.24;42.91
45.25;43.99
45.3;43.2
45.31;43.21
45.32;43.99.1
45.33;43.22
45.34;43.29
45.4;43.3
45.41;43.31
45.42;43.32
45.43;43.33
45.44;43.34
45.45;43.39
45.5;43.99
45.5;43.99
50;45
50.1;45.1
50.1;45.1
50.2;45.2
50.2;45.2
50.3;45.3
50.3;45.3
50.4;45.4
50.4;45.4
50.5;47.3
50.5;47.3
51;46
51.1;46.1
51.11;46.11
51.12;46.12
51.13;46.13
51.14;46.14
51.15;46.15
51.16;46.16
51.17;46.17
51.18;46.18
51.19;46.19
51.2;46.2
51.21;46.21
51.22;46.22
51.23;46.23
51.24;46.24
51.25;46.21.2
51.3;46.3
51.31;46.31
51.32;46.32
51.33;46.33
51.34;46.34
51.35;46.35
51.36;46.36
51.37;46.37
51.38;46.38
51.39;46.39
51.4;46.4
51.41;46.41
51.42;46.42
51.43;46.43
51.44;46.44
51.45;46.45
51.46;46.46
51.47;46.49
51.5;46.7
51.51;46.71
51.52;46.72
51.53;46.73
51.54;46.74
51.55;46.75
51.56;46.76
51.57;46.77
51.6;46.6
51.61;46.62
51.62;46.63
51.63;46.64
51.64;46.66
51.65;46.69
51.66;46.61
51.7;46.9
51.7;46.9
52;47
52.1;47.1
52.11;47.11
52.12;47.19
52.2;47.2
52.21;47.21
52.22;47.22
52.23;47.23
52.24;47.24
52.25;47.25
52.26;47.26
52.27;47.29
52.3;47.73
52.31;47.73
52.32;47.74
52.33;47.75
52.4;47.5
52.41;47.51
52.42;47.71
52.43;47.72
52.44;47.59
52.45;47.54
52.46;47.52
52.47;47.61
52.48;47.7
52.5;47.79
52.5;47.79
52.6;47.9
52.61;47.99
52.62;47.8
52.63;47.9
52.7;95.2
52.71;95.23
52.72;95.22.1
52.73;95.25
52.74;95.29
55;55.1
55.1;55.1
55.11;55.1
55.12;55.1
55.2;55.2
55.21;55.2
55.22;55.3
55.23;55.9
55.3;56.1
55.3;56.1
55.4;56.3
55.4;56.3
55.5;56.29
55.51;56.29.1
55.52;56.29
60;49
60.1;49.1
60.1;49.1
60.2;49.3
60.21;49.31
60.22;49.32
60.23;49.3
60.24;49.4
60.3;49.5
60.3;49.5
61;50
61.1;50.1
61.1;50.1
61.2;50.3
61.2;50.3
62;51
62.1;51.10.1
62.1;51.10.1
62.2;51.2
62.2;51.21
62.3;51.22
62.3;51.22
63;52
63.1;52.24
63.11;52.24
63.12;52.1
63.2;52.2
63.21;52.21
63.22;52.22
63.23;52.23
63.3;79.1
63.3;79.11
63.4;52.29
63.4;52.29
64;53
64.1;53.1
64.11;53.1
64.12;53.20.3
64.2;61.1
64.2;61.1
65;64
65.1;64.1
65.11;64.11
65.12;64.19
65.2;64.9
65.21;64.91
65.22;64.92
65.23;64.99
66;65
66;65.1
66.01;65.11
66.02;65.3
66.03;65.12
67;66
67.1;66.1
67.11;66.11
67.12;66.12
67.13;66.19
67.2;66.2
67.2;66.2
70;68
70.1;68.1
70.11;68.10.1
70.12;68.1
70.2;68.2
70.2;68.2
70.3;68.3
70.31;68.31
70.32;68.32
71;77
71.1;77.11
71.1;77.11
71.2;77.3
71.21;77.39.11
71.22;77.34
71.23;77.35
71.3;77.39
71.31;77.31
71.32;77.32
71.33;77.33
71.34;77.39.2
71.4;77.2
71.4;77.29
72;62
72.1;62.02
72.1;62.02
72.2;62
72.2;62.01
72.3;63.1
72.3;63.11
72.4;63.11.1
72.4;63.11.1
72.5;95.1
72.5;95.11
72.6;62.09
72.6;62.09
73;72
73.1;72.1
73.1;72.19
73.2;72.2
73.2;72.2
74;69
74.1;69
74.11;69.1
74.12;69.2
74.13;73.2
74.14;70.22
74.15;70.10.1
74.2;71.1
74.2;71.1
74.3;71.2
74.3;71.2
74.4;73.1
74.4;73.11
74.5;78.1
74.5;78.1
74.6;80
74.6;80.1
