Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО ""Водоканал""";"ООО ""Водоканал""  ";ООО;4816006854;480801001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Коммунсервис""";"ООО ""Коммунсервис""";ООО;4816006928;480801001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Водоканал""";"ООО ""Водоканал"" ";ООО;4816007054;481601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Благоустройство""";"ООО ""Благоустройство""";ООО;4816009630;481601001;;;ЮЛ;;Да;Нет;;;;;;;
Дмитряшевская участковая больница, МУЗ;Отдел финансов администрации Хлевенского района (МУЗ Дмитряшевская участковая больница л/сч 12086000270)  ;;4817001591;481701001;;;ЮЛ;;Да;Нет;;;;;;;
"МУП ""Спецавтотранс"" г.Ельца";"МУП ""Спецавтотранс"" г.Ельца";МУП;4821000181;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Елецкое ДСУ-3""";"ОАО ""Елецкое ДСУ-3""";ООО;4821001548;482101001;;;ЮЛ;399778, Липецкая обл, Елецкий р-н, Елец г, Александровская ул, дом № 1 в;Да;Нет;;;;;;;
"МУП ""Елецводоканал""";"МУП ""Елецводоканал"" ";МУП;4821002037;482101001;;;ЮЛ;"399770, Россия, Липецкая обл., Елецкий р-н, г. Елец, ул. Парковая,  дом № 12-""А""";Да;Нет;;;;;;;
"ОАО ""УПТК""";"ОАО ""УПТК""";ООО;4821003425;482101001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (Администрация г.Ельца);УФК по Липецкой области (Администрация г.Ельца);;4821003915;482101001;;;ЮЛ;;Да;Нет;;;;;;;
Муниципальное унитарное жилищно-эксплуатационное предприятие (МУЖЭРП) г.Ельца;Муниципальное унитарное жилищно-эксплуатационное предприятие (МУЖЭРП) г.Ельца;;4821004186;482101001;;;ЮЛ;399770, Липецкая обл, Елецкий р-н, Елец г, Карла Маркса ул, дом № 17;Да;Нет;;;;;;;
"Финансовый комитет администрации г.Ельца (МБУЗ ""Елецкая городская поликлиника N 2"" л/с 20613000024)";"Финансовый комитет администрации г.Ельца (МУЗ ""Елецкая городская поликлиника N 2""";;4821004330;482101001;;;ЮЛ;399774, Россия, Липецкая обл., Елецкий р-н, г. Елец, ул. Гагарина,  дом № 5;Да;Нет;;;;;;;
"МУЗ ""Елецкая городская поликлиника N 1""";"МУЗ ""Елецкая городская поликлиника N 1""";;4821004563;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Стройхозторг""";"ООО ""Стройхозторг""";ООО;4821009836;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Лавский карьер""";"ОАО ""Лавский карьер""";ООО;4821012490;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Елецкий стройкомплект""";"ООО ""Елецкий стройкомплект"" ";ООО;4821014579;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Комтез""";"ОАО ""Комтез"" ";ООО;4821015653;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Профдезинфекция""";"ООО ""Профдезинфекция""  ";ООО;4821016030;482101001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""ПКП ""Прожекторные угли""";"ООО ""Производственно-коммерческое предприятие ""Прожекторные угли""";ООО;4821016294;482101001;;;ЮЛ;142715, Россия, Липецкая обл., г. Липецк, ул. Ленина,  дом № 1, корп. 1, кв. 1;Да;Нет;;;;;;;
"АО ""ЛГЭК""";"Акционерное общество ""Липецкая городская энергетическая компания""";АО;4825066916;482250001;;;ЮЛ;398001, Россия, Липецкая обл., г. Липецк, пл. Петра Великого,  дом № 4а;Да;Нет;;;;;;;
"Общество с ограниченной ответственностью ""Городская энергосбытовая компания""";"Общество с ограниченной ответственностью ""Городская энергосбытовая компания""";ООО;4822001340;482250001;;;ЮЛ;"398024, Россия, г. Липецк, пр-кт Победы,  дом № 87 ""А""";Да;Нет;;;;;;;
"ОАО ""Липецкий  силикатный завод""";"ОАО ""Липецкий силикатный завод""";ООО;4823000980;482250001;;;ЮЛ;398011, Россия, Липецкая обл., г. Липецк, ул. Астраханская,  дом № 1;Да;Нет;;;;;;;
"ОАО ""Липецкстальпроект""";"ОАО ""Липецкстальпроект""";ООО;4823001409;482601001;;;ЮЛ;398059, Россия, Липецкая обл., г. Липецк, ул. Калинина,  дом № 1;Да;Нет;;;;;;;
"ФБУ ""Государственный региональный центр стандартизации, метрологии и испытаний в Липецкой области""";"Федеральное бюджетное учреждение ""Государственный региональный центр стандартизации, метрологии и испытаний в Липецкой области""";;4823003043;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Фирма-""Маяк""";"ООО ""Фирма-""Маяк""";ООО;4823006125;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";"Публичное акционерное общество ""Новолипецкий металлургический комбинат""";ПАО;4823006703;997550001;;;ЮЛ;Россия, 398040, г.Липецк, пл. Металлургов,  д.2;Да;Нет;;;;;;;
"ЗАО ""Промсвязь-Инвест""";"ЗАО ""Промсвязь-Инвест""";ЗАО;4823014461;482601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Севем""";"ООО ""Севем""";ООО;4823015507;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ЗАО ""Теплоэнергомонтаж""";"ЗАО ""Теплоэнергомонтаж""";ЗАО;4823016765;482301001;;;ЮЛ;398600, г.Липецк, Грязинское шоссе, владение 5;Да;Нет;;;;;;;
"ООО ""Липецкэкохим""";ООО Липецкэкохим;ООО;4823018843;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Автодизель-2""";"ООО ""Автодизель-2""";ООО;4823021035;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"Частное Учреждение ""Медицинский Центр ""Матырский""";"Частное Учреждение ""Медицинский Центр ""Матырский""";;4823022342;482301001;;;ЮЛ;398908, Россия, Липецкая обл., г. Липецк, пер. Виноградный,  дом № 16;Да;Нет;;;;;;;
"ООО ""Торговая компания ""Пульс""";"ООО ""Торговая компания ""Пульс""";ООО;4823024565;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""ГУК ""Левобережная""";"ООО ""ГУК ""Левобережная""";ООО;4823026146;482501001;1054800261977;;ЮЛ;398055, Россия, Липецкая обл., г. Липецк, ул. Московская,  дом № 20;Да;Нет;;;;;;;
"ЗАО ""Липецкремстрой""";"ЗАО ""Липецкремстрой""";ЗАО;4823026153;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Городская управляющая компания ""Центральная""";"ООО ""Городская управляющая компания ""Центральная""";ООО;4823026403;482601001;;;ЮЛ;398001, Россия, Липецкая обл., г. Липецк, ул. 8 Марта,  дом № 20;Да;Нет;;;;;;;
"ООО ""Автопромподшипник-Липецк""  ОСБ 8593/90 г.Липецк";"ООО ""Автопромподшипник-Липецк""  ОСБ 8593/90 г.Липецк";ООО;4823027414;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Техмаш""";"ООО ""Техмаш""";ООО;4823029387;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Реал""";"ООО ""Реал""";ООО;4823031322;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал ОАО ""Газпром газораспределение Липецк"" в с.Боринское";"Филиал ОАО ""Газпром газораспределение Липецк"" в с.Боринское";ООО;4824003938;481302001;;;ЮЛ;;Да;Нет;;;;;;;
"Сжиженный газ филиал ОАО ""Липецкоблгаз""";"Сжиженный газ филиал ОАО ""Липецкоблгаз""";ООО;4824003938;482602001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал АО ""Газпром газораспределение Липецк"" в п.Добринка";"Филиал АО ""Газпром газораспределение Липецк"" в п.Добринка";АО;4824003938;480402001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал ОАО ""Газпром газораспределение Липецк"" в с.Долгоруково";"Филиал ОАО ""Газпром газораспределение Липецк"" в с.Долгоруково";ООО;4824003938;480602001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал АО ""Газпром газораспределение Липецк"" в г.Грязи";"Филиал АО ""Газпром газораспределение Липецк"" в г.Грязи";АО;4824003938;480202001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Липецкоблгаз"" - филиал ""Торговый дом Олимп""";"ОАО ""Липецкоблгаз"" - филиал Торговый дом ""Олимп""";ООО;4824003938;482602002;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал АО ""Газпром газораспределение Липецк"" в г.Усмани";"Филиал АО ""Газпром газораспределение Липецк"" в г.Усмани";АО;4824003938;481602001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал ОАО ""Газпром газораспределение Липецк"" в г.Данкове";"Филиал ОАО ""Газпром газораспределение Липецк"" в г.Данкове";ООО;4824003938;480302001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал АО ""Газпром газораспределение Липецк"" в п. Лев Толстой";"Филиал АО ""Газпром газораспределение Липецк"" в п. Лев Толстой";АО;4824003938;481231001;;;ЮЛ;;Да;Нет;;;;;;;
"Филиал АО ""Газпром газораспределение Липецк"" в г.Липецке";"Филиал АО ""Газпром газораспределение Липецк"" в г.Липецке";АО;4824003938;482502002;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Карат""";"ООО ""Карат""";ООО;4824006390;482401001;;;ЮЛ;Россия, ;Да;Нет;;;;;;;
"ООО ""Контур-Консультант""";"ООО""Контур-Консультант""";ООО;4824007322;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Электрома""";"ООО ""Электрома""";ООО;4824012957;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ГОАОУ ДПО ""ЛОУКК""";"ГОАОУ ДПО ""Липецкий областной учебно-курсовой комбинат""";ООО;4824017899;482301001;;;ЮЛ;398017, г. Липецк, ул. Осипенко, дом №12;Да;Нет;;;;;;;
Книжный клуб 36,6, ООО ЛКТФ;"ООО""ЛКТФ Книжный клуб 36,6""";ООО;4824020517;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО  ""Завод Железобетон""";"ОАО  ""Завод Железобетон""";ООО;4823003220;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"НОУ ""Учебный центр - Липецкэнерго""";"НОУ ""Учебный центр - Липецкэнерго""";;4824029661;482501001;;;ЮЛ;398050, Россия, Липецкая обл., г. Липецк, ул. Ленина,  дом № 23;Да;Нет;;;;;;;
"ООО ""Форсаж""";"ООО""Форсаж""";ООО;4824032008;481301001;;;ЮЛ;398501, г. Липецк, Копцевы Хутора, участок Нефтебаза;Да;Нет;;;;;;;
УФК по Липецкой области (ГУ ЦУС ФПС по Липецкой области (л/с 03461806490));УФК по Липецкой области (ГУ ЦУС ФПС по Липецкой области (л/с 03461806490));;4824033227;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Электрома Плюс""";"ООО ""Электрома Плюс"" ";ООО;4824034125;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"НОУ ""Липецкий областной учебно-методический центр охраны труда и здоровья ""Мирта""";"НОУ ""Липецкий областной учебно-методический центр охраны труда и здоровья ""Мирта""";;4824035048;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ЗАО ""Липецкэлектро""";"ЗАО ""Липецкэлектро""";ЗАО;4824035400;482401001;;;ЮЛ;398059, Россия, Липецкая обл., г. Липецк, ул. Мичурина,  дом № 28, корп. Е;Да;Нет;;;;;;;
"ООО ""Энергостиль""";"ООО ""Энергостиль""";ООО;4824035792;482401001;;;ЮЛ;398024, Россия, Липецкая обл., г. Липецк, пр-кт Победы,  дом № 71, оф. 145;Да;Нет;;;;;;;
"ООО ""АРМ-Центр""";"ООО ""АРМ-Центр""";ООО;4824039162;482501001;;;ЮЛ;398043, Россия, Липецкая обл., г. Липецк, ул. Гагарина,  дом № 108;Да;Нет;;;;;;;
"ООО ""Русэнергосервис""";"ООО ""Русэнергосервис""";ООО;4824042260;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Липецкая Металлургическая Компания""";"Общество с ограниченной ответственностью ""Липецкая Металлургическая Компания""";ООО;4824043465;482401001;;;ЮЛ;398059, г. Липецк, ул. Неделина, д.15А;Да;Нет;;;;;;;
"ЛОО ""ВДПО""";"ЛОО ""ВДПО""";;4825001193;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО Липецкий карьер ""Стройматериал""";"ОАО Липецкий карьер ""Стройматериал""";ООО;4825001348;481301001;;;ЮЛ;;Да;Нет;;;;;;;
МУСПАТ по уборке г.Липецка;СПАТ по уборке, МУ г.Липецк;;4825003955;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО""Контур""";"ООО""Контур""";ООО;4825006755;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ГК ""Универсальные системы""";"ООО ГК ""Универсальные системы""";ООО;4825007808;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО фирма ""Юрис-сервис""";"ООО фирма ""Юрис-сервис""";ООО;4825019480;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Фирма ""Профмет""";"ООО ""Фирма ""Профмет""";ООО;4825020975;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Контех-Авто""";"ООО ""Контех-Авто""";ООО;4825025003;482501001;;;ЮЛ;"398600, Россия, Липецкая обл., г. Липецк, ул. Алмазная,  дом № 1 ""А""";Да;Нет;;;;;;;
"ООО ""Торговый Дом ""ТОВАРИЩ""";"ООО ""Торговый Дом ""ТОВАРИЩ"" ";ООО;4825027931;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"НП ""Липецкий  ТИПБ""";"НП ""Липецкий  ТИПБ""";;4825029625;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ЗАО ""НЭК ""Мосэкспертиза-Липецк""";"ЗАО ""НЭК ""Мосэкспертиза-Липецк""";ЗАО;4825032441;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""КМН и Ко""";"ООО ""КМН и Ко""";ООО;4825033766;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Даймэкс""";"ООО ""Даймэкс""";ООО;4825034512;482501001;;;ЮЛ;398050, Россия, Липецкая обл., г. Липецк, ул. Угловая,  дом № 11, помещение № 2;Да;Нет;;;;;;;
"Ассоциация ДПО ""Центр охраны труда Липецкой области""";"Ассоциация ДПО ""Центр охраны труда Липецкой области""";;4825035690;482501001;;;ЮЛ;398050, Россия, Липецкая обл., г. Липецк, ул. Ленина,  дом № 23;Да;Нет;;;;;;;
"ООО ""Гидроспецназ-2""";"ООО ""Гидроспецназ-2""";ООО;4825035957;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ОГУП ""ЛОКК""";"ОГУП ""Липецкая областная коммунальная компания""";;4825036020;482401001;;;ЮЛ;398024, Россия, Липецкая обл., г. Липецк, ул. Папина,  дом № 19 в;Да;Нет;;;;;;;
"ООО РТП ""Правобережное""";"ООО ""РТП-Правобережное""";ООО;4825036083;482501001;;;ЮЛ;398042,г.Липецк, ул.Универсальный проезд, д.10;Да;Нет;;;;;;;
"ООО ""ВЕКТОР""";"ООО ""ВЕКТОР""";ООО;4825037048;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ТО ТД ""Художник""";"ООО ТО Торговый дом ""Художник""";ООО;4825037721;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ЗАО ""ЭкоПром-Липецк""";"ЗАО ""ЭкоПром-Липецк""";ЗАО;4825037859;482501001;;;ЮЛ;398032, Россия, Липецкая обл.,  дом № 10;Да;Нет;;;;;;;
"ООО ""Частное охранное предприятие ""Кречет""";"ООО ""Частное охранное предприятие ""Кречет""";ООО;4825038531;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Сантехоптторг""";"ООО ""Сантехоптторг""";ООО;4825038700;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""ХимТорг""";ООО ХимТорг;ООО;4825039711;482501001;;;ЮЛ;;Да;Нет;;;;;;;
ООО Премьер;ООО Премьер;ООО;4825039790;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО Инженерный Центр ""Лифт-Эксперт""";"ООО Инженерный Центр ""Лифт-Эксперт""";ООО;4825040509;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"Закрытое акционерное общество ""Липецкэнергоремонтинвест""";"Закрытое акционерное общество ""Липецкэнергоремонтинвест""";ЗАО;4825040731;482301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Городская Управляющая Компания ""Правобережная""";"ООО ""ГУК ""Правобережная""";ООО;4825041823;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""ЭДЦ""Промышленная безопасность""";"ООО ""ЭДЦ""Промышленная безопасность""";ООО;4825042739;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Сервисный центр"" Аргамак""";"ООО ""Сервисный центр"" Аргамак""";ООО;4825043362;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Профессиональное оборудование""";"ООО ""Профессиональное оборудование""";ООО;4825044528;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Липецкпромэкспертиза""";"ООО ""Липецкпромэкспертиза""";ООО;4825046998;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""БИС""";"ООО ""БИС""";ООО;4825047198;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО""РУМБ""";"ООО""РУМБ""";ООО;4825047871;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Липецкторгреклама""";"ООО ""Липецкторгреклама""";ООО;4825050761;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Протон""";"ООО ""Протон""";ООО;4825055752;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""РН-Карт-Липецк""";"ООО ""РН-Карт-Липецк""";ООО;4825058471;482501001;;;ЮЛ;;Да;Нет;;;;;;;
"АО ""Липецк-Лада""";"АО ""Липецк-Лада""";АО;4826000989;482601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Предприятие ""ОПС""";"ООО ""Предприятие ОПС""";ООО;4826002760;482501001;;;ЮЛ;398020, Россия, Липецкая обл., г. Липецк, ул. Гагарина,  дом № 6, оф. 3;Да;Нет;;;;;;;
"ОАО ""Липецкий Гипромез""";"ОАО ""Липецкий Гипромез""";ООО;4826002880;482601001;;;ЮЛ;398059, Россия, Липецкая обл., г. Липецк, ул. Калинина,  дом № 1;Да;Нет;;;;;;;
"ФГУП ""Липецкий областной центр дезинфекции и стерилизации""";ФГУП Липецкий областной центр дезинфекции и стерилизации;ФГУП;4826005793;482601001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (Территориальный орган Федеральной службы госcтатистики по Липецкой области) л/с 04461059010;УФК по Липецкой области (Территориальный орган Федеральной службы госcтатистики по Липецкой области) л/с 04461059010;;4826006772;482601001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (Управление имущественных и земельных отношений Липецкой области);УФК по Липецкой области (Управление имущественных и земельных отношений Липецкой области);;4826006839;482601001;;;ЮЛ;;Да;Нет;;;;;;;
"ОБУ ""Издательский дом ""Липецкая газета""";"ОБУ ""Издательский дом ""Липецкая газета"" ";;4826011878;482601001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (НИИ ЛГТУ л/с 20466X28690);УФК по Липецкой области (НИИ ЛГТУ л/с 20466X28690);;4826012416;482645003;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""НТО ""ЭКСПЕРТ""";ООО НТО ЭКСПЕРТ;ООО;4826019098;482401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""НТЦ ""Ада""";"ООО ""НТЦ ""Ада""";ООО;4826019700;482601001;;;ЮЛ;398001, Россия, Липецкая обл., г. Липецк, ул. Советская,  дом № 7;Да;Нет;;;;;;;
"ОГУП ""Липецкфармация""";"ОГУП ""Липецкфармация""";;4826022196;482601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ИЦ ""Эксперт""";"ООО ИЦ ""Эксперт""";ООО;3665001144;366501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО фирма ""Демо""";"ООО фирма ""Демо""";ООО;3665003374;366501001;;;ЮЛ;;Да;Нет;;;;;;;
"ДООО Завод ""Эталон-сервис"" ОАО ""Завод Эталон""";"ДООО Завод ""Эталон-сервис"" ОАО ""Завод Эталон""";ООО;3665023194;366501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Альянс СВ""";"ООО ""Альянс СВ""";ООО;3665033080;366501001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Регион-Спектрсерт""";"ООО ""Регион-Спектрсерт""";ООО;3665040295;366201001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Торговый дом ""Наяда""";"ООО ""Торговый дом ""Наяда""";ООО;3666080999;366301001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Институт Проектпромвентиляция""";"ООО ""Институт Проектпромвентиляция""";ООО;3666082315;366401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ТД ""Соль Черноземья""";"ООО ТД ""Соль Черноземья""";ООО;3666099781;366601001;;;ЮЛ;;Да;Нет;;;;;;;
"Фонд ФГОУ ВПО ""Воронежского ГАУ""";"Фонд ФГОУ ВПО ""Воронежского ГАУ""";;3666113933;366601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Экологические технологии очистки""";"ООО ""Экологические технологии очистки""";ООО;3666115948;366201001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ТЦ ""Сервисавтоматика""";"ООО ТЦ ""Сервисавтоматика""";ООО;3666127301;366601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Известь-Строй""";"ООО ""Известь-Строй""";ООО;3666149841;366601001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Ивэнергоналадка""";"ООО ""Ивэнергоналадка""";ООО;3702040673;370201001;;;ЮЛ;;Да;Нет;;;;;;;
"ФГБОУ ВПО ""Ивановский государственный энергетический университет имени В.И. Ленина";УФК по Ивановской области  (ИГЭУ) л.сч.03331А30360;АНО;3731000308;370201001;;;ЮЛ;153003, Россия, Ивановская обл., г. Иваново, ул. Рабфаковская,  дом № 34;Да;Нет;;;;;;;
"ООО ""Силмашкомплект""";"ООО ""Силмашкомплект""";ООО;4028037625;402801001;;;ЮЛ;248017, Россия, Калужская обл., г. Калуга, ул. Азаровская,  дом № 38;Да;Нет;;;;;;;
"ООО ""ЛиЗоГРАФ""";"ООО ""ЛиЗоГРАФ""";ООО;4347026309;434501001;;;ЮЛ;610035, Россия, Кировская обл., г. Киров, ул. Чапаева,  дом № 47, корп. А;Да;Нет;;;;;;;
"ОАО ""Калориферный завод""";"ОАО ""Калориферный завод""";ООО;4401006945;440101001;;;ЮЛ;159961, Россия, Костромская обл., г. Кострома, ул. Красная Байдарка, д. 2;Да;Нет;;;;;;;
"ООО ""ПРОМПЛАСТ""";"ООО ""ПРОМПЛАСТ""";ООО;4405006368;440501001;;;ЮЛ;157800, Россия, Костромская обл., Нерехтский р-н, г. Нерехта, ул. Ленина,  дом № 92;Да;Нет;;;;;;;
"ООО ""Промэлектромет""";"ООО ""Промэлектромет""";ООО;4632036062;463201001;;;ЮЛ;305018, Россия, Курская обл., г. Курск, пр-кт Кулакова,  дом № 115;Да;Нет;;;;;;;
"ЗАО ""Корта""";"ЗАО ""Корта""";ЗАО;4703012494;470301001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (Администрация Грязинского муниципального района);УФК по Липецкой области (Администрация Грязинского муниципального района);;4802001831;480201001;;;ЮЛ;399000, Россия, Липецкая обл.,г.Грязи, ул.Красная площадь,  дом № 38;Да;Нет;;;;;;;
"УФК по Липецкой области (Облфинуправление) (л/сч 01007000120 ОКУ ""ЛОПНБ"")";"УФК по Липецкой области (Облфинуправление)(л/сч 01007000120 ОКУ ""Липецкая областная психоневрологическая больница"")";;4802002585;480201001;;;ЮЛ;399083, Россия, Липецкая обл., Грязинский р-н, с. Плеханово, А/Я 18;Да;Нет;;;;;;;
"ООО ""Монтажгазсервис""";"ООО ""Монтажгазсервис""";ООО;4802005177;480201001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Липецкий пищевой комбинат""";Липецкий пищевой комбинат, ООО;ООО;4802007470;480201001;;;ЮЛ;;Да;Нет;;;;;;;
Пушкино, МУП;"МУП""Пушкино"" Пушкинского сельсовета";МУП;4802010233;480401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Добринкаводоканал""";"ООО ""Добринкаводоканал""";ООО;4802011371;480401001;;;ЮЛ;;Да;Нет;;;;;;;
"ООО ""Управляющая компания ""Плавицкая""";"ООО ""Управляющая компания ""Плавицкая""";ООО;4802011597;480401001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (Администрация Данковского района);УФК по Липецкой области (Администрация Данковского района);;4803002500;480301001;;;ЮЛ;;Да;Нет;;;;;;;
"Управление финансов Липецкой области (ГУЗ ""Данковская МРБ"" л/с 20007000350)";"Управление финансов Липецкой области (ГУЗ ""Данковская ЦРБ"" л/с 20007000350)";;4803002620;480301001;;;ЮЛ;399850, г.Данков, ул.К.Маркса, дом 1;Да;Нет;;;;;;;
"ОАО ""Доломит""";"ОАО ""Доломит""";ООО;4803003415;480301001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Завод ЖБИ""";"ОАО ""Завод ЖБИ""";ООО;4803003422;480301001;;;ЮЛ;399776, Россия, Липецкая обл., Данковский р-н, г. Данков, ул. Мира,  дом № 75;Да;Нет;;;;;;;
"УФК по Липецкой области (ГУ ""ОВО МО МВД России ""Данковский"" л/с 04461753580)";"УФК по Липецкой области (ГУ ""ОВО МО МВД России ""Данковский"" л/с 04461753580)";;4803004070;480301001;;;ЮЛ;;Да;Нет;;;;;;;
"МУП ""Архитектура и строительство""";"МУП ""Архитектура и строительство""";МУП;4803005194;480301001;;;ЮЛ;;Да;Нет;;;;;;;
"ОАО ""Агроном""";"ОАО ""Агроном""";ООО;4803005437;480301001;;;ЮЛ;;Да;Нет;;;;;;;
УФК по Липецкой области (адм.сельск.пос.Пушкинский с/с Добринского мун. р-на Липецкой обл. РФ л/с 04463007180);УФК по Липецкой области (адм.сельск.пос.Пушкинский с/с Добринского мун. р-на Липецкой обл. РФ л/с 04463007180);;4804002982;480401001;;;ЮЛ;;Да;Нет;;;;;;;
"ЗАО ""Цезарь Сателлит""";"ЗАО ""Цезарь Сателлит""";ЗАО;7704191876;773001001;;;ЮЛ;121170, г. Москва, Кутузовский проезд, д. 36, стр. 7;Да;Нет;;;;;;;
Администрация МО город Ефремов;Администрация МО город Ефремов;;7113006013;711301001;;;ЮЛ;301860, Тульская область, г.Ефремов, ул.Свердлова, 43;Да;Нет;;;;;;;
"ООО ""Промышленная Компания ""Бастион""";"ООО ""Промышленная Компания ""Бастион""";ООО;7810302281;781001001;;;ЮЛ;196240, г.Санкт-Петербург, ул.Краснопутиловская, д.113, корп.2;Да;Нет;;;;;;;
Администрация муниципального образования Веневский район;Администрация муниципального образования Веневский район;;7123003491;712301001;;;ЮЛ;301320,г.Венев, пл.Ильича, д.4;Да;Нет;;;;;;;
