Наименование;Полное наименование;Форма собственности;ИНН;КПП;ОГРН;ОКПО;Форма (ЮЛ / ФЛ / ИП / Ин. Лицо);Юр. адрес;Резидент?;ДЗО?;СМП?;Форма АО;Тип МСП (МП / СП );OKTMO;Дата регистрации юр.лица/ИП;;
"ООО""Норд-Вест Инжиниринг""";"ООО""Норд-Вест Инжиниринг""";ООО;7708620325;770801001;;;ЮЛ;101990 г.Москва,ул.Мясницкая,д.13,стр.1;Да;Нет;;;;;;;
"ООО Фирма ""Инком-Снаб""";"ООО Фирма ""Инком-Снаб""";ООО;5720008027;575201001;1025700694480;;ЮЛ;302001 г.Орел,ул.Гагарина,8;Да;Нет;;;;;;;
"ЗАО ""СПЕКТР КСК""";"Закрытое акционерное общество ""СПЕКТР КСК""";ЗАО;7713322927;770201001;;;ЮЛ;127051 г.Москва,ул.Трубная,д.29,стр.1;Да;Нет;;;;;;;
"ООО ""ЭНЕРГОСИЛА""";"ООО ""ЭНЕРГОСИЛА""";ООО;7730569811;770401001;;;ЮЛ;119002, Россия, г. Москва, ул. Новый Арбат,  дом № 21;Да;Нет;;;;;;;
"ООО ""Диком-Регион""";"ООО ""Диком-Регион""";ООО;5753043919;575301001;;;ЮЛ;300045, г.Тула, ул.Перекопская д.9;Да;Нет;;;;;;;
"МУП ""Спецавтобаза""";"МУП ""Спецавтобаза""";МУП;5701000343;575101001;;;ЮЛ;302011,Орел,Новосильское шоссе,18;Да;Нет;;;;;;;
"УФК по Орловской области (БУЗ Орловской области ""Орловская дезинфекционная станция"" Л/с 20546Ш98980)";"УФК по Орловской области (БУЗ Орловской области ""Орловская дезинфекционная станция"" Л/с 20546Ш98980)";;5752007481;575201001;;;ЮЛ;302001 г. Орел, ул.Красина, 54;Да;Нет;;;;;;;
"ООО ""НИИ КМ""";"ООО""НИИ КМ""";ООО;7706130928;770601001;;;ЮЛ;123182 г.Москва,пл.академика Курчатова,1;Да;Нет;;;;;;;
"Филиал ПАО ""МРСК Центра"" - ""Орелэнерго""";"Филиал ПАО ""МРСК Центра"" - ""Орелэнерго""";ПАО;6901067107;575102001;;;ЮЛ;127018, Россия, г. Москва, ул. Ямская 2-я,  дом № 4;Да;Нет;;;;;;;
"ОАО ""Корпоративные сервисные системы""";"ОАО ""Корпоративные сервисные системы""";ООО;3125008321;312301001;;;ЮЛ;308600 г.Белгород ул.Преображенская,42;Да;Нет;;;;;;;
"МБУЗ ГО город Воронеж ""Городская поликлиника N1""";"Муниципальное бюджетное учреждение здравоохранения городского округа город Воронеж ""Городская поликлиника №1""";;3666031286;366601001;;;ЮЛ;г. Воронеж, ул. Тимирязева, д.23;Да;Нет;;;;;;;
ГОУВПО Всероссийский заочный финансово-экономический институт;ГОУВПО Всероссийский заочный финансово-экономический институт;ЗАО;7730015179;773001001;;;ЮЛ;123995 ГСП-5 г.Москва ул.Олеко Дундича д.23;Да;Нет;;;;;;;
"ООО ""Метизы Черноземья""";"ООО ""Метизы Черноземья""";ООО;3661037527;366301001;;;ЮЛ;304000, г. Воронеж, ул. Землячки, дом. № 21;Да;Нет;;;;;;;
"ООО ""Спецмонтажналадка""";"ООО ""Спецмонтажналадка""";ООО;5752047607;575201001;;;ЮЛ;302014, г. Орел, ул. Авиационная, д.14.;Да;Нет;;;;;;;
"ООО ""Институт риска и безопасности""";"ООО ""Институт риска и безопасности""";ООО;7736011484;773601001;;;ЮЛ;117334, г.Москва, ул.Бардина, д.4;Да;Нет;;;;;;;
"ОАО ""Смоленскэнергоремонт""";"Открытое акционерное общество ""Смоленскэнергоремонт""";ООО;6731044861;673101001;;;ЮЛ;214031, г.Смоленск, ул.Индустриальная, д.5;Да;Нет;;;;;;;
"ООО ""ДЖИИ РУС""";"ООО ""ДжиИ Рус""";ООО;7705574092;774850001;;;ЮЛ;123112, г. Москва, Пресненская наб., 10,;Да;Нет;;;;;;;
"Федеральное Государственное Унитарное Предриятие ""Почта России""";"Федеральное Государственное Унитарное Предриятие ""Почта России""";;7724261610;673002001;;;ЮЛ;214000, г.Смоленск, ул.Октябрьской революции, 6;Да;Нет;;;;;;;
"ООО ""Юникс""";"ООО ""Юникс""";ООО;6168039633;616801001;;;ЮЛ;г,Ростов-на-Дону, ул. 2-ая Краснодарская, 145;Да;Нет;;;;;;;
"ООО ""Дездело""";"ООО ""Дездело""";ООО;7111027508;711101001;;;ЮЛ;Тульская область, г. Алексин, ул. Матросова, д. 18;Да;Нет;;;;;;;
"ООО ""Трансремонт-Черноземье""";"ООО ""Трансремонт-Черноземье""";ООО;3662116820;366501001;;;ЮЛ;394075, г. Воронеж, ул. Дачный поселок, 3а;Да;Нет;;;;;;;
